"site_no","LONG","LAT"
"1F003",-78.26865877,38.70301594
"1F007",-78.37064837,38.71212916
"1F030",-78.27935884,38.69506642
"1F118",-78.32445066,38.74835781
"1F132",-78.31918196,38.78955881
"1F138",-78.29158443,38.72801872
"1FVA1",-78.33717005,38.72382707
"1FVA2",-78.29127045,38.70329391
"1FVA3",-78.30035371,38.70845025
"2F016",-78.38448462,38.5113422
"2F017",-78.4059521,38.52515455
"2F039",-78.31309546,38.58725386
"2F040",-78.3166781,38.59175083
"2F050",-78.31630314,38.59522897
"2F055",-78.42057407,38.52275221
"2F072",-78.37170956,38.44461219
"2F074",-78.38047638,38.45616108
"2F075",-78.39872196,38.45859056
"2F076",-78.4099598,38.46264641
"2F095",-78.35781651,38.65427741
"2F131",-78.35798738,38.63293738
"2F135",-78.36741159,38.46340496
"2FVA4",-78.38236151,38.47094363
"2FVA5",-78.40670215,38.48712671
"3F044",-78.73809475,38.18288034
"3F045",-78.74400623,38.16422908
"3F102",-78.66782602,38.32965405
"3F103",-78.67156204,38.33422009
"3F107",-78.81183524,38.15893016
"3F109",-78.79606489,38.16534387
"3F123",-78.79337203,38.19872367
"3F124",-78.78407521,38.19476399
"3F125",-78.77812176,38.19557507
"3F128",-78.67196679,38.31447233
"01451800",-75.626854,40.661762
"01539000",-76.431056,41.078141
"01547700",-77.605826,41.059509
"01557500",-78.233624,40.683673
"01558098",-78.12695,40.61812
"01564500",-77.925276,40.212581
"01566000",-77.419156,40.515356
"01567500",-77.402209,40.370916
"01568000",-77.16887,40.323419
"01571184",-77.308595,40.030925
"01572950",-76.598299,40.438978
"01594936",-79.409778,39.260306
"01594950",-79.39031,39.27669
"01596500",-79.101944,39.570056
"01597000",-79.159478,39.500092
"01601000",-78.716407,39.812029
"01603500",-78.646406,39.789808
"01605500",-79.33782,38.635672
"01606000",-79.233651,38.984555
"01606500",-79.175871,38.991221
"01609000",-78.555,39.553222
"01610155",-78.344139,39.649528
"01611500",-78.309731,39.582316
"01613050",-78.132229,39.898421
"01613095",-78.15275,39.706361
"01613525",-78.03653,39.67769
"01613900",-78.288059,39.214548
"01614000",-78.037222,39.512042
"01614090",-77.439431,39.930092
"01620500",-79.240036,38.337626
"01630700",-78.231945,38.835115
"01632000",-78.852803,38.637063
"01632900",-78.642794,38.69345
"01634500",-78.329449,39.081218
"01635090",-78.316392,39.006775
"01636210",-78.185833,38.905667
"01636690",-77.7185,39.310833
"01640500",-77.4636,39.676763
"01641500",-77.467019,39.527103
"01662500",-78.151111,38.714007
"01665500",-78.340007,38.280686
"02011400",-79.881444,38.042347
"02011460",-79.768663,38.245401
"02013000",-80.047004,37.802902
"02014000",-80.04228,37.729014
"02015700",-79.570323,38.195403
"02016000",-79.759492,37.791796
"02017500",-80.106715,37.50624
"02018000",-79.911439,37.665962
"02024915",-79.278333,37.6975
"02027000",-78.981691,37.715419
"02027500",-79.027525,37.702363
"02028500",-78.823354,37.869585
